purpose,sector,vehicle_category,value
1,1,1,15
1,1,2,224
1,1,2,45
1,1,2,116
1,1,3,52
1,1,3,228
1,2,1,229
1,2,1,259
1,2,1,65
1,2,2,231
1,2,2,169
1,2,2,98
1,2,3,259
1,3,1,225
1,3,1,92
1,3,1,133
1,3,2,290
1,3,2,46
1,3,3,92
2,1,1,161
2,1,2,11
2,1,2,174
2,1,3,132
2,2,1,58
2,2,2,114
2,2,2,238
2,2,3,66
2,3,1,22
2,3,1,41
2,3,2,121
2,3,2,202
2,3,2,122
2,3,3,22
2,3,3,18
2,3,3,35
3,1,1,213
3,1,1,37
3,1,1,139
3,1,2,296
3,1,2,242
3,1,3,33
3,1,3,222
3,1,3,298
3,2,1,293
3,2,1,250
3,2,1,120
3,2,2,240
3,2,2,129
3,2,3,247
3,2,3,245
3,3,1,218
3,3,1,68
3,3,2,39
3,3,3,53
4,1,1,76
4,1,1,113
4,1,2,59
4,1,2,136
4,1,2,127
4,1,3,17
4,2,1,135
4,2,2,211
4,2,2,32
4,2,3,44
4,2,3,246
4,2,3,263
4,3,1,284
4,3,1,209
4,3,1,162
4,3,2,259
4,3,2,74
4,3,2,275
4,3,3,67
5,1,1,196
5,1,1,42
5,1,1,192
5,1,2,158
5,1,2,104
5,1,2,5
5,1,3,123
5,1,3,23
5,1,3,66
5,2,1,278
5,2,1,139
5,2,2,278
5,2,2,24
5,2,3,280
5,3,1,286
5,3,1,152
5,3,2,97
5,3,2,88
5,3,2,37
5,3,3,273
5,3,3,51
6,1,1,117
6,1,1,151
6,1,1,65
6,1,2,235
6,1,2,88
6,1,2,189
6,1,3,28
6,1,3,242
6,1,3,205
6,2,1,280
6,2,2,270
6,2,2,170
6,2,2,235
6,2,3,59
6,2,3,163
6,2,3,148
6,3,1,277
6,3,2,37
6,3,3,266
6,3,3,252
