id;x;y
construction_site_0;626064.5323478003;5806513.233720413
construction_site_1;551383.5976375344;5810796.331527955
construction_site_2;549121.3848222438;5801311.271102321
construction_site_3;556760.7063083497;5793224.0919641135
construction_site_4;554552.3828792586;5808176.879311398
construction_site_5;551261.4573817388;5803678.736418916
construction_site_6;531362.3410762058;5800211.684246318
construction_site_7;534428.2463699525;5798274.540912894
construction_site_8;553795.8178586571;5810107.148047734
construction_site_9;549874.0360665303;5799561.860521256
construction_site_10;530157.6104317073;5827850.210472857
construction_site_11;534411.9740398396;5802030.074092477
construction_site_12;549014.6936650956;5804318.142715753
construction_site_13;541483.1796129617;5757931.070331605
construction_site_14;595543.3289546258;5875507.7318877205
